# refreshed_at	name	nitems	stacked	spent	streak
2026-06-15T11:50:49.402Z	k00b	62	97829	106638	1114
2026-06-15T11:50:49.402Z	petertodd	9	79972	11202	0
2026-06-15T11:50:49.402Z	Scoresby	146	54323	82550	378
2026-06-15T11:50:49.402Z	grayruby	278	47995	32919	936
2026-06-15T11:50:49.402Z	BlokchainB	251	42250	79203	972
2026-06-15T11:50:49.402Z	0xbitcoiner	147	30706	10888	1
2026-06-15T11:50:49.402Z	realBitcoinDog	50	7829	51307	0
2026-06-15T11:50:49.402Z	davidw	0	7498	0	0
2026-06-15T11:50:49.402Z	notgrubles	15	7033	188	0
2026-06-15T11:50:49.402Z	gsc360	151	6864	5234	31
2026-06-15T11:50:49.402Z	billytheked	33	6215	53040	44
2026-06-15T11:50:49.402Z	south_korea_ln	14	6121	1105	0
2026-06-15T11:50:49.402Z	Aardvark	1	5925	10	0
2026-06-15T11:50:49.402Z	justin_shocknet	35	5348	2166	0
2026-06-15T11:50:49.402Z	lontivero	1	4781	30	0
2026-06-15T11:50:49.402Z	Alby	1	4651	30	0
2026-06-15T11:50:49.402Z	WeAreAllSatoshi	87	4592	7284	122
2026-06-15T11:50:49.402Z	OneOneSeven	4	4455	2576	0
2026-06-15T11:50:49.402Z	soggycakes	1	4271	500	0
2026-06-15T11:50:49.402Z	sjors	6	3429	591	2
2026-06-15T11:50:49.402Z	Cje95	21	3372	991	1
2026-06-15T11:50:49.402Z	NEEDcreations	12	3172	12657	0
2026-06-15T11:50:49.402Z	Machiavelli23	13	3152	669	3
2026-06-15T11:50:49.402Z	satwize	3	3136	7275	26
2026-06-15T11:50:49.402Z	guerratotal	29	3068	899	0
2026-06-15T11:50:49.402Z	sox	16	2945	4816	0
2026-06-15T11:50:49.402Z	TNStacker	0	2823	51890	1
2026-06-15T11:50:49.402Z	Wumbo	13	2694	1919	0
2026-06-15T11:50:49.402Z	login	0	2647	0	0
2026-06-15T11:50:49.402Z	Team_Predyx	17	2631	446	0
2026-06-15T11:50:49.402Z	Car	21	2602	1674	1
2026-06-15T11:50:49.402Z	Public_N_M_E	14	2578	5222	8
2026-06-15T11:50:49.402Z	cryotosensei	53	2575	1492	70
2026-06-15T11:50:49.402Z	RDClark	9	2552	1342	1
2026-06-15T11:50:49.402Z	i_am_a_seeker	44	2502	1897	6
2026-06-15T11:50:49.402Z	Fenix	27	2476	1182	0
2026-06-15T11:50:49.402Z	gnilma	37	2411	1174	3
